nik,raw_phone,reason
9999000000000001,+6281234567081,missing_patient
9999000000000002,081234567082,missing_patient
9999000000000003,62abc567083,length
9999000000000004,1234,length
9999000000000005,+631234567084,non_digit
9999000000000006,081,length
9999000000000007,,empty
9999000000000008,0812-34A6-7088,missing_patient
9999000000000009,081234567089000000,length
9999000000000010,081234567090,missing_patient
9999000000000001,081234567061,missing_patient
9999000000000002,+62 81234567062,missing_patient
9999000000000003,62ABC567063,length
9999000000000004,123456,length
9999000000000005,+631234567064,non_digit
9999000000000006,0812,length
9999000000000007,,empty
9999000000000008,0812-34A6-7068,missing_patient
9999000000000009,081234567069000000,length
9999000000000010,081234567070,missing_patient
9999000000000001,081234567021,missing_patient
9999000000000002,+62 81234567022,missing_patient
9999000000000003,62abc567023,length
9999000000000004,12345,length
9999000000000005,+631234567024,non_digit
9999000000000006,08123,length
9999000000000007,,empty
9999000000000008,,empty
9999000000000009,0812-34A6-7029,missing_patient
9999000000000010,081234567030000000,length
