last_updated_date,nik_identifier,name,phone_number
23-09-2025,3171044203920001,DEWI LESTARI SARI,+62 812-3456-7001
23-09-2025,3578106207900002,MAYA SARI PUTRI,6281234567002
23-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,081234567003
23-09-2025,1275095011890004,LINDA MARLINA SIREGAR,0834-5678-7004
23-09-2025,7371094806930005,SITI AMINAH RAHMAN,0845-6789-7005
23-09-2025,5171036509910006,KADEK AYU DEWI,85678907006
23-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,8678907007
23-09-2025,3374164401880008,PUTRI INDAH MAHARANI,878907008
23-09-2025,1671034310900009,DEVI SARI LESTARI,88901230009
23-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,89012340010
23-09-2025,3171044203920001,DEWI LESTARI SARI,+6281234567011
23-09-2025,3578106207900002,MAYA SARI PUTRI,0812 3456 7012
23-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,6281234567013
23-09-2025,1275095011890004,LINDA MARLINA SIREGAR,+62 812 3456 7014
23-09-2025,7371094806930005,SITI AMINAH RAHMAN,0812-3456-7015
23-09-2025,5171036509910006,KADEK AYU DEWI,+6281234567016
23-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,81234567017
23-09-2025,3374164401880008,PUTRI INDAH MAHARANI,081234567018
23-09-2025,1671034310900009,DEVI SARI LESTARI,0812-345-67019
23-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,6281234567020
23-09-2025,9999000000000001,UNKNOWN PATIENT 1,081234567021
23-09-2025,9999000000000002,UNKNOWN PATIENT 2,+62 81234567022
23-09-2025,9999000000000003,UNKNOWN PATIENT 3,62abc567023
23-09-2025,9999000000000004,UNKNOWN PATIENT 4,12345
23-09-2025,9999000000000005,UNKNOWN PATIENT 5,+631234567024
23-09-2025,9999000000000006,UNKNOWN PATIENT 6,08123
23-09-2025,9999000000000007,UNKNOWN PATIENT 7,
23-09-2025,9999000000000008,UNKNOWN PATIENT 8,   
23-09-2025,9999000000000009,UNKNOWN PATIENT 9,0812-34A6-7029
23-09-2025,9999000000000010,UNKNOWN PATIENT 10,081234567030000000
23-09-2025,3171044203920001,DEWI LESTARI SARI,+6281234567031
23-09-2025,3578106207900002,MAYA SARI PUTRI,+62 812 3456 7032
23-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,6281234567033
23-09-2025,1275095011890004,LINDA MARLINA SIREGAR,081234567034
23-09-2025,7371094806930005,SITI AMINAH RAHMAN,+6281234567035
23-09-2025,5171036509910006,KADEK AYU DEWI,081234567036
23-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,+6281234567037
23-09-2025,3374164401880008,PUTRI INDAH MAHARANI,+62 812-3456-7038
23-09-2025,1671034310900009,DEVI SARI LESTARI,0812 3456 7039
23-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,6281234567040
23-09-2025,3171044203920001,DEWI LESTARI SARI,+62 812-3456-7041
23-09-2025,3578106207900002,MAYA SARI PUTRI,081234567042
23-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,6281234567043
23-09-2025,1275095011890004,LINDA MARLINA SIREGAR,081234567044
23-09-2025,7371094806930005,SITI AMINAH RAHMAN,+62 81234567045
23-09-2025,5171036509910006,KADEK AYU DEWI,0812-3456-7046
23-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,6281234567047
23-09-2025,3374164401880008,PUTRI INDAH MAHARANI,081234567048
23-09-2025,1671034310900009,DEVI SARI LESTARI,+62 812 3456 7049
23-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,81234567050
22-09-2025,3171044203920001,DEWI LESTARI SARI,081234567051
22-09-2025,3578106207900002,MAYA SARI PUTRI,+6281234567052
22-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,081234567053
22-09-2025,1275095011890004,LINDA MARLINA SIREGAR,6281234567054
22-09-2025,7371094806930005,SITI AMINAH RAHMAN,081234567055
22-09-2025,5171036509910006,KADEK AYU DEWI,+62 81234567056
22-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,0812 3456 7057
22-09-2025,3374164401880008,PUTRI INDAH MAHARANI,6281234567058
22-09-2025,1671034310900009,DEVI SARI LESTARI,081234567059
22-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,+6281234567060
22-09-2025,9999000000000001,UNKNOWN PATIENT 1,081234567061
22-09-2025,9999000000000002,UNKNOWN PATIENT 2,+62 81234567062
22-09-2025,9999000000000003,UNKNOWN PATIENT 3,62ABC567063
22-09-2025,9999000000000004,UNKNOWN PATIENT 4,123456
22-09-2025,9999000000000005,UNKNOWN PATIENT 5,+631234567064
22-09-2025,9999000000000006,UNKNOWN PATIENT 6,0812
22-09-2025,9999000000000007,UNKNOWN PATIENT 7,  
22-09-2025,9999000000000008,UNKNOWN PATIENT 8,0812-34A6-7068
22-09-2025,9999000000000009,UNKNOWN PATIENT 9,081234567069000000
22-09-2025,9999000000000010,UNKNOWN PATIENT 10,081234567070
21-09-2025,3171044203920001,DEWI LESTARI SARI,+62 812 3456 7071
21-09-2025,3578106207900002,MAYA SARI PUTRI,081234567072
21-09-2025,3273044812940003,RINA PERMATA ANGGRAINI,+6281234567073
21-09-2025,1275095011890004,LINDA MARLINA SIREGAR,081234567074
21-09-2025,7371094806930005,SITI AMINAH RAHMAN,6281234567075
21-09-2025,5171036509910006,KADEK AYU DEWI,0812 3456 7076
21-09-2025,3471031204950007,ANISA FITRI PUSPITASARI,+62 81234567077
21-09-2025,3374164401880008,PUTRI INDAH MAHARANI,081234567078
21-09-2025,1671034310900009,DEVI SARI LESTARI,6281234567079
21-09-2025,6472044008870011,ERNI SEPTIANA WULANDARI,081234567080
21-09-2025,9999000000000001,UNKNOWN PATIENT 1,+6281234567081
21-09-2025,9999000000000002,UNKNOWN PATIENT 2,081234567082
21-09-2025,9999000000000003,UNKNOWN PATIENT 3,62abc567083
21-09-2025,9999000000000004,UNKNOWN PATIENT 4,1234
21-09-2025,9999000000000005,UNKNOWN PATIENT 5,+631234567084
21-09-2025,9999000000000006,UNKNOWN PATIENT 6,081
21-09-2025,9999000000000007,UNKNOWN PATIENT 7,
21-09-2025,9999000000000008,UNKNOWN PATIENT 8,0812-34A6-7088
21-09-2025,9999000000000009,UNKNOWN PATIENT 9,081234567089000000
21-09-2025,9999000000000010,UNKNOWN PATIENT 10,081234567090
01-08-2025,3171044203920001,DEWI LESTARI SARI,081234567091
01-08-2025,3578106207900002,MAYA SARI PUTRI,+6281234567092
01-08-2025,3273044812940003,RINA PERMATA ANGGRAINI,081234567093
01-08-2025,1275095011890004,LINDA MARLINA SIREGAR,6281234567094
01-08-2025,7371094806930005,SITI AMINAH RAHMAN,081234567095
01-08-2025,5171036509910006,KADEK AYU DEWI,+62 81234567096
01-08-2025,3471031204950007,ANISA FITRI PUSPITASARI,0812 3456 7097
01-08-2025,3374164401880008,PUTRI INDAH MAHARANI,6281234567098
01-08-2025,1671034310900009,DEVI SARI LESTARI,081234567099
01-08-2025,6472044008870011,ERNI SEPTIANA WULANDARI,+6281234567100
